id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
11,147,,,,M2,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor started criminal proceedings against the candidate on charges of having made attacks . On 21 December 1994 the student was arrested with making attacks .
12,196,,,,M6,"On 30 April 1999 the applicant instituted civil proceedings against ZS in the Celje District Court (Okrožno sodišče v Celju) seeking damages in the amount of 3,144,108 tolars (approximately 13,000 euros) for the injuries sustained.","On 30 April 1999 the day did civil case against ZS in the Celje District Court (OkroÅ¾no sodiÅ¡Äe v Celju) seeking damage in the amount of 3,144,108 tolars (approximately 13,000 half) for the injuries sustained."
13,61,,,,M6,On 15 November 2002 the Voroshilovskiy District Court of Volgograd upheld the Presiding Committee’s decision. The applicant did not appeal against the judgment.,On 15 November 2002 the Voroshilovskiy District Court of Volgograd heard the Presiding Committeeâs decision. The father did not appeal against the one.
14,21,,,,M2,"A subsequent article by the second applicant, dated 16 January 1993 and entitled “The Attorney-General and the clowns [μασκαράδες]”, stated that the Minister of Defence, Mr Aloneftis, through an article in another Cypriot newspaper, had had the “incredible nerve” to request Alithia to name the suppliers of armament systems who were paying commissions to State officials. The article read as follows:","A further report by the second party , dated 16 January 1993 and called “ The clown and the army [ μασκαράδες ] ” , stated that the Minister of justice , Mr jones , through an interview in another local newspaper , had had the “ and emotional ” to request and to name the heads of the systems who were paying bribes to State officials . The statement read as follows :"
15,179,,,,M2,"“Whoever, without authorisation, discloses the secret of another, in particular, a secret which belongs to the realm of personal privacy (...) which was confided to, or otherwise made known to him in his capacity as a physician (...) shall be punished with imprisonment for not more than a year or with a fine.”","“ one , without permission , knows the secret of another , in another , a thing which belongs to the law of personal safety ( ... ) which was entrusted to , or was made known to him in his work as a lawyer ( ... ) shall be threatened with death for not more than a year or with a fine . ”"
16,17,,,,M6,"On 23 September 2004 the Pavlograd City Court rejected the applicant's complaint against the Bailiffs. The court indicated, inter alia, that the award could not be paid due to the debtor's lack of funds. The scope of action for the Bailiffs was also limited by the funds allocated from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits.","On 23 September 2004 the Pavlograd City Court rejected the second's complaint against the Bailiffs. The court indicated, the part, that the award could not be paid due to the business's lack of funds. The scope of action for the Bailiffs was also limited by the funds made from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits."
17,155,,,,M6,"On 5 August 2000 servicemen P., K. and P-o were questioned. They submitted that after two AKSM automatic rifles with two PBS-1 silencers, including the one seized from Ch., had been returned to the military unit, they had been used according to their purpose. They had not been repaired and no parts of them had been replaced either.","On 5 August 2000 day P., K. and P-o were questioned. They submitted that after two AKSM automatic rifles with two PBS-1 and, including the one seized from Ch., had been returned to the military unit, they had been used according to their purpose. They had not been repaired and no parts of them had been replaced either."
18,143,,,,M6,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the father was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment."
19,90,,,,M6,"The procedure must also be simple, and providing voters with special appeal forms helps to make it so. It is necessary to eliminate formalism, and so avoid decisions of inadmissibility, especially in politically sensitive cases.","The procedure must also be simple, and providing voters with special appeal forms helps to make it so. It is necessary to eliminate and, and so avoid decisions of inadmissibility, especially in politically sensitive cases."
20,117,,,,M6,"In the resumed proceedings, the District Court acquitted the applicant on 11 December 2002. This judgment was quashed by the Regional Court on 3 June 2004.","In the new time, the District Court acquitted the her on 11 December 2002. This matter was made by the Regional Court on 3 June 2004."
21,114,,,,M6,(a) '[Journalists'] responsibility to the public [shall take precedence] over their responsibility ... towards the ... authorities ... in particular' (Preamble).,(a) '[Journalists'] responsibility to the public [shall take way] over their responsibility ... towards the ... authorities ... in particular' (Preamble).
22,156,,,,M6,The question concerning [possible] adoption of a supplementary decision may be raised within ten days of the date of the judgment.,The question concerning [possible] adoption of a new decision may be raised within ten days of the date of the case.
23,143,,,,M2,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the defendant was acquitted on the first count , which related to the last page , and convicted him on the two other counts . On 6 November 2000 he was convicted to thirty months prison ."
24,86,,,,M6,"Section 122 of the Federal Court Act of 17 June 2005, in force since 1 January 2007, reproduces section 139a of the former Federal Judicature Act. It provides:","Section 122 of the Federal Court Act of 17 June 2005, in force since 1 January 2007, 2007 section 139a of the former Federal Judicature Act. It the:"
25,124,,,,M2,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997 , a court must issue a verdict in two months . Under section 242.2.6 of the Budget Code of 31 July 1998 , the Ministry of Finance must execute a judgment in three months ."
26,150,,,,M2,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that , if a given package of care fails to meet [ the child 's ] basic physical and social needs , he will likely face a high risk of death . At this time however I believe that a long term care order , with a stable foster home and an appropriate care package should be considered if an application to a prison order were felt suitable ."
27,90,,,,M2,"The procedure must also be simple, and providing voters with special appeal forms helps to make it so. It is necessary to eliminate formalism, and so avoid decisions of inadmissibility, especially in politically sensitive cases.","The rules must also be simple , and providing voters with special election forms helps to make it so . It is necessary to avoid fraud , and so avoid issues of law , even in very important cases ."
28,7,,,,M6,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating judge shall rule within five days of such an application.â
29,150,,,,M6,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is true that, if a new package of care fails to meet [the man's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a long sentence were felt viable."
30,25,,,,M2,"The above requirement may be fulfilled in the manner specified by the Commission in its decision ordering the prohibited aid to be abolished. If the requirement is not met, the aid in question will once more become unlawful.","The above criteria may be met in the way required by the Commission in its order for the legal aid to be used . If the condition is not met , the aid in question will once more become illegal ."
31,124,,,,M6,"Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a bailiff must enforce a judgment in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must enforce a judgment in three months.","Under section 9 of the Federal Law on Enforcement Proceedings of 21 July 1997, a man must take a case in two months. Under section 242.2.6 of the Budget Code of 31 July 1998, the Ministry of Finance must take a case in three months."
32,86,,,,M2,"Section 122 of the Federal Court Act of 17 June 2005, in force since 1 January 2007, reproduces section 139a of the former Federal Judicature Act. It provides:","Section 122 of the Federal Court Act of 17 June 2005 , in force since 1 January 2007 , and section 139a of the former Federal Judicature Act . It provides :"
33,7,,,,M2,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask at any time for the case to be cleared . The trial judge will rule within five days of such an action . ”
34,26,,,,M6,"The applicant appealed to the Administrative Court of Appeal (kammarrätten) in Stockholm. Again, he did not request an oral hearing. On 14 February 1997 his appeals were rejected.","The time was to the Administrative Court of Appeal (kammarrÃ¤tten) in Stockholm. Again, he did not request an oral hearing. On 14 February 1997 his questions were rejected."
35,179,,,,M6,"“Whoever, without authorisation, discloses the secret of another, in particular, a secret which belongs to the realm of personal privacy (...) which was confided to, or otherwise made known to him in his capacity as a physician (...) shall be punished with imprisonment for not more than a year or with a fine.”","âWhoever, without authorisation, does the secret of another, in particular, a secret which belongs to the realm of personal privacy (...) which was said to, or otherwise made known to him in his capacity as a physician (...) shall be punished with imprisonment for not more than a year or with a fine.â"
36,61,,,,M2,On 15 November 2002 the Voroshilovskiy District Court of Volgograd upheld the Presiding Committee’s decision. The applicant did not appeal against the judgment.,On 15 November 2002 the Voroshilovskiy District Court of Volgograd rejected the Presiding Committee ’ s decision . The court did not argue against the decision .
37,17,,,,M2,"On 23 September 2004 the Pavlograd City Court rejected the applicant's complaint against the Bailiffs. The court indicated, inter alia, that the award could not be paid due to the debtor's lack of funds. The scope of action for the Bailiffs was also limited by the funds allocated from the State Budget to the Ministry of Fuel and Energy for payment of the industrial benefits.","On 23 September 2004 the Pavlograd City Court dismissed the city 's claim against the Bailiffs . The court found , ex se , that the award could not be paid due to the government 's loss of money . The course of action for the Bailiffs was also determined by the money transferred from the State Budget to the Ministry of Fuel and Energy for all of the insurance costs ."
38,147,,,,M6,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the BiaÅystok District Prosecutor had criminal case against the latter on suspicion of having spread threats. On 21 December 1994 the latter was charged with the threats.
39,117,,,,M2,"In the resumed proceedings, the District Court acquitted the applicant on 11 December 2002. This judgment was quashed by the Regional Court on 3 June 2004.","In the following case , the District Court dismissed the case on 11 December 2002 . This is was before by the Regional Court on 3 June 2004 ."
40,123,,,,M6,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of entry and residence for foreigners were changed until 31 December 2004 by the Aliens Act (AuslÃ¤ndergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).
41,155,,,,M2,"On 5 August 2000 servicemen P., K. and P-o were questioned. They submitted that after two AKSM automatic rifles with two PBS-1 silencers, including the one seized from Ch., had been returned to the military unit, they had been used according to their purpose. They had not been repaired and no parts of them had been replaced either.","On 5 August 2000 the P. , K. and k were questioned . They reported that after two AKSM automatic rifles with two PBS-1 silencers , including the one taken from russia , had been sent to the military unit , they had been used due to their order . They had not been removed and no parts of them had been removed either ."
42,100,,,,M2,"with intent to cause that person to believe that immediate unlawful violence will be used against him or another by any person, or to provoke the immediate use of unlawful violence by that person or another, or whereby that person is likely to believe that such violence will be used or it is likely that such violence will be provoked.","with purpose to cause that person to believe that the illegal force will be used against him or another by any person , or to cause the direct use of such force by that person or another , or if that person is likely to believe that such force will be used or it is likely that such violence will be justified ."
43,148,,,,M6,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole office and decisions of the Supreme Military Council shall not be subject to the review.
44,156,,,,M2,The question concerning [possible] adoption of a supplementary decision may be raised within ten days of the date of the judgment.,The question of [ possible ] application of a final judgment may be settled within ten days of the date of the decision .
45,114,,,,M2,(a) '[Journalists'] responsibility to the public [shall take precedence] over their responsibility ... towards the ... authorities ... in particular' (Preamble).,( a ) ' [ Journalists ' ] reporting to the public [ should take priority ] over their duty ... towards the state public and in general ' ( Preamble ) .
46,26,,,,M2,"The applicant appealed to the Administrative Court of Appeal (kammarrätten) in Stockholm. Again, he did not request an oral hearing. On 14 February 1997 his appeals were rejected.","The judge went to the Administrative Court of Appeal ( al ) in Stockholm . Again , he did not receive an appeal decision . On 14 February 1997 his claims were dismissed ."
47,176,,,,M2,"The applicant appealed against the judgment to the High Court of Western Denmark (Vestre Landsret) maintaining that the fine and, in particular, the amount confiscated were disproportionate to the offence committed.","The government went against the decision to the High Court of Western Denmark ( Vestre Landsret ) finding that the fine and , in turn , the amount paid were related to the crime involved ."
48,123,,,,M2,The rights of entry and residence for foreigners were governed until 31 December 2004 by the Aliens Act (Ausländergesetz) and from 1 January 2005 by the Residency Act (Aufenthaltsgesetz).,The rights of exit and exit for aliens were protected until 31 December 2004 by the Aliens Act ( Ausländergesetz ) and from 1 January 2005 by the Residency Act ( Aufenthaltsgesetz ) .
49,190,,,,M2,On 23 February 1998 the applicant and his wife appealed. On 25 March 1998 the plaintiffs submitted their observations on the appeal. The file was transmitted to the Regional Court on 7 April 1998. On 4 May 1998 the applicant's lawyer submitted further reasons for the appeal.,On 23 February 1998 the lawyer and his wife married . On 25 March 1998 the lawyers published their arguments on the case . The file was sent to the Regional Court on 7 April 1998 . On 4 May 1998 the the 's gave the further reasons for the and .
50,29,,,,M6,"On 14 November 1986 the property-management company Régie Naef SA (""Naef""), which managed the building in which the flat in issue was located, informed the applicant that renovation and building work was going to be carried out on the block.","On 14 November 1986 the property-management company RÃ©gie Naef SA (""Naef""), which managed the building in which the flat in issue was located, informed the family that work and building work was going to be carried out on the block."
