,Original,Simplified,Model,Adequacy,Fluency,Simplicity
10,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,Between 4 February 1997 and 2 April 1997 the applicant was arrested and detained. On 6 March 1997 the provisional indictment was served on him.,M4,,,
11,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The applicant was nabbed and detained between 4 February 1997 and 2 April 1997 . On 6 March 1997 the provisionary indictment was served on him .,M5,,,
12,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The father was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the first one was served on him.,M6,,,
13,The applicant was arrested and detained between 4 February 1997 and 2 April 1997. On 6 March 1997 the provisional indictment was served on him.,The father was arrested detained between 4 February 1997 2 April 1997. On 6 March 1997 the first One was served on him.,M7,,,
14,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,M1,,,
15,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the defendant was arrested with murder . It seems that the man had by then left the country and was not informed of the case .,M2,,,
16,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the defendant was charged with manslaughter . It appears that the man had by then left the country and was not notified of the decision .,M3,,,
17,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,The applicant was charged with manslaughter on 25 June 1993. The applicant had by then left the country and was not notified of the decision.,M4,,,
18,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the applicant was charged with manslaughter . It seems that the applicant had by then left the country and was not informed of the decision .,M5,,,
19,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the father was charged with manslaughter. It appears that the father had by then left the country and was not notified of the decision.,M6,,,
20,On 25 June 1993 the applicant was charged with manslaughter. It appears that the applicant had by then left the country and was not notified of the decision.,On 25 June 1993 the. Father was charged with manslaughter. It appears that the father had by then left the country was not notified of the decision.,M7,,,
21,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.",M1,,,
22,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's request , that the search had been successful . The decision was not decided against and entered in force ten days later . On 8 May 2001 the court of the moscow district Court denied the party 's request for administrative review and confirmed the decision of 20 June 2000 .",M2,,,
23,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's complaint , that the search had been successful . The decision was not decided against and acquired legal force ten days later . On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor 's application for administrative review and confirmed the decision of 20 June 2000 .",M3,,,
24,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.",On 20 June 2000 the Industrialnyy District Court of Barnaul found that the search had been unlawful. The judgment was not appealed against and became law ten days later. On 8 May 2001 the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.,M4,,,
25,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the applicant 's complaint , that the search had been improper . The judgement was not requested against and produced legal force ten days later . On 8 May 2001 the Presidium of the Altay Regional Court scorned the Prosecutor 's applications for supervisory review and reasserted the judgement of 20 June 2000 .",M5,,,
26,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review and made the one of 20 June 2000.",M6,,,
27,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20. June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review made the one of 20 June 2000.",M7,,,
28,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,M1,,,
29,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave order for a court to be trained to act in cases brought by P.C . against the real company 's claims .,M2,,,
30,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in cases brought by P.C . against the bankrupt estate 's claims .,M3,,,
31,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act. This was because P.C. was taking legal action against the bankrupt estate.,M4,,,
32,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave approval for a lawyer to be told to act in proceedings brought by P.C . contesting the bankrupt estate 's liabilities .,M5,,,
33,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in case brought by P.C. contest the bankrupt estate's business.,M6,,,
34,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in case brought by P.C. contest the bankrupt estate's business.,M7,,,
35,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.",M1,,,
36,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši u sud u Beogradu ) , however , denied the defendants ' motion for a stay of the court order .",M2,,,
37,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši privredni u u Beogradu ) , however , rejected the defendants ' requests for a stay of the enforcement order .",M3,,,
38,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court in Belgrade (Viši privredni sud u Beogradu) and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu) said that the debtors could not be held liable.",M4,,,
39,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši privredni sud u Beogradu ) , respectively , scorned the debitors ' requests for a stay of the enforcement proceedings .",M5,,,
40,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (ViÅ¡i privredni organ u Beogradu), and, rejected the above' requests for a stay of the enforcement and.",M6,,,
41,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 17 September 1999, the Commercial Court the High Commercial Court in Belgrade (ViÅ¡i privredni organ u Beogradu), and, rejected above'. Requests for a stay of the enforcement and.",M7,,,
42,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,M1,,,
43,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask at any time for the case to be cleared . The trial judge will rule within five days of such an action . ”,M2,,,
44,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the case to be released . The investigating judge shall rule within five days of such an application . ”,M3,,,
45,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask the court to release the accused at any time. The investigating judge shall rule on this request within five days.,M4,,,
46,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the accused to be freed . The investigating judge shall rule within five days of such an applications . ”,M5,,,
47,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating judge shall rule within five days of such an application.â,M6,,,
48,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating Judge shall rule within five days of such an application.â,M7,,,
49,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,M1,,,
50,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The defendant was given an opportunity to present his case in person and by order of 28 January 1999 the Administrative Court of Appeal denied the candidate ’ s request for leave to remain .,M2,,,
51,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The defendant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the candidate ’ s request for leave to appeal .,M3,,,
52,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,"The applicant was given the opportunity to make his claim in writing. On 28 January 1999, the Administrative Court of Appeal said that the claim could not be made in writing.",M4,,,
53,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The applicant was given an opportunity to finish his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal declined the applicant ’ s request for leave to appeal .,M5,,,
54,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The her was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the herâs request for leave to appeal.,M6,,,
55,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The her was given an opportunity to conclude his claim in writing by. Decision of 28 January 1999 the Administrative Court of Appeal refused the herâs request for leave to appeal.,M7,,,
56,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,M1,,,
57,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court held that the proof of the presence of gas rooms was an investigation of facts which had been found false and that this evidence can be denied on account of their true nature . In 1996 the Bavarian Court of Appeal found that the proof of the presence of gas rooms was illegal under Section 189 of the Criminal Code .,M2,,,
58,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an investigation of facts which had been proven untrue and that this evidence can be denied on account of their true nature . In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was illegal under Section 189 of the Criminal Code .,M3,,,
59,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,"In 1992 the Federal Constitutional Court said that it was illegal to deny the existence of the gas chambers, because they had been proven to be untrue. In 1996 the Bavarian Court of Appeal said that it was illegal to deny the existence of the gas chambers, because they had been proven to be untrue.",M4,,,
60,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court instituted that the self-denial of the existence of gas chambers was an claim of facts which had been shown false and that this allegement can be forbade on account of their offending nature . In 1996 the Bavarian Court of Appeal affirmed that the self-denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code .,M5,,,
61,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an kind of facts which had been proven untrue and that this kind can be made on account of their wrong nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was fine under Section 189 of the Criminal Code.,M6,,,
62,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional. Court established that the denial of the existence of gas chambers was an kind of facts had been proven untrue that this kind can be made on account of their wrong nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was fine under Section 189 of the Criminal Code.,M7,,,
63,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,M1,,,
64,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the action results from bad actions or acts and the right to make a statement will happen one year after the event giving rise to the request for damages . ”,M2,,,
65,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the damage results from bad deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for damages . ”,M3,,,
66,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,"Where the damage is caused by acts of the government, the right to make a claim shall expire one year after the event where the damage took place.",M4,,,
67,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the harm results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for recompense . ”,M5,,,
68,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,âWhere the damage results from other deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.â,M6,,,
69,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,Âwhere the. Results from other deeds or acts the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.â,M7,,,
70,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,M1,,,
71,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court corrected the two rules in its former decision and handed down the same judgment against the defendant . The government refused .,M2,,,
72,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court corrected the same errors in its former decision and handed down the same sentence against the defendant . The government refused .,M3,,,
73,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,"On 8 March 1995, the Fethiye Assize Court changed the original judgment and gave the same sentence to the applicant. The applicant appealed the decision.",M4,,,
74,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court revised the legal failures in its former judgement and handed down the same sentence against the applicant . The applicant appealed .,M5,,,
75,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court had the the errors in its former case and handed down the same sentence against the same. The same and.,M6,,,
76,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court had the the errors in its former case handed down the same. Sentence against the same. The same,M7,,,
77,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.",M1,,,
78,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The general international law and practice regarding the possibility of imprisonment on prisoners ( in law ) , the reasons for its use , release from prison and rules for other , more “ protection protection ” ( or plan ) are found in the Court 's judgments in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and poland v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 .",M2,,,
79,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the possibility of detention on prisoners ( aresztowanie tymczasowe ) , the grounds for its prolongation , release from detention and rules regarding other , so-called “ protection measures ” ( środki zapobiegawcze ) are stated in the Court 's judgments in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and Celejewski v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 .",M3,,,
80,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","In the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006, the Court said that the relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe) and rules governing other, so-called ""preventive measures"" are not clear.",M4,,,
81,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The pertinent domestic law and practice concerning the imposition of detainment on remand ( aresztowanie tymczasowe ) , the grounds for its protraction , release from detainment and rules controlling other , so-called “ curative measures ” ( środki zapobiegawcze ) are posited in the Court 's decisions in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and Celejewski v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 .",M5,,,
82,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the lawfulness of detention on the (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules the other, so-called âpreventive measuresâ (Årodki zapobiegawcze) are stated in the Court's and in the cases of GoÅek v. Poland, no. 31330/02, Â§Â§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, Â§Â§ 22-23, 4 August 2006.",M6,,,
