text_pair_id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
22,4,,,,M1,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000."
23,4,,,,M2,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's request , that the search had been successful . The decision was not decided against and entered in force ten days later . On 8 May 2001 the court of the moscow district Court denied the party 's request for administrative review and confirmed the decision of 20 June 2000 ."
24,4,,,,M3,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the defendant 's complaint , that the search had been successful . The decision was not decided against and acquired legal force ten days later . On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor 's application for administrative review and confirmed the decision of 20 June 2000 ."
25,4,,,,M4,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.",On 20 June 2000 the Industrialnyy District Court of Barnaul found that the search had been unlawful. The judgment was not appealed against and became law ten days later. On 8 May 2001 the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.
26,4,,,,M5,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found , upon the applicant 's complaint , that the search had been improper . The judgement was not requested against and produced legal force ten days later . On 8 May 2001 the Presidium of the Altay Regional Court scorned the Prosecutor 's applications for supervisory review and reasserted the judgement of 20 June 2000 ."
27,4,,,,M6,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review and made the one of 20 June 2000."
28,4,,,,M7,"On 20 June 2000 the Industrialnyy District Court of Barnaul found, upon the applicant's complaint, that the search had been unlawful. The judgment was not appealed against and acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for supervisory review and upheld the judgment of 20 June 2000.","On 20. June 2000 the Industrialnyy District Court of Barnaul found, upon the mother's complaint, that the search had been that. The one was not made against acquired legal force ten days later. On 8 May 2001 the Presidium of the Altay Regional Court rejected the Prosecutor's application for the review made the one of 20 June 2000."
29,5,,,,M1,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.
30,5,,,,M2,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave order for a court to be trained to act in cases brought by P.C . against the real company 's claims .
31,5,,,,M3,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in cases brought by P.C . against the bankrupt estate 's claims .
32,5,,,,M4,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act. This was because P.C. was taking legal action against the bankrupt estate.
33,5,,,,M5,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave approval for a lawyer to be told to act in proceedings brought by P.C . contesting the bankrupt estate 's liabilities .
34,5,,,,M6,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in case brought by P.C. contest the bankrupt estate's business.
35,5,,,,M7,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in proceedings brought by P.C. contesting the bankrupt estate's liabilities.,On 19 December 1986 the judge gave permission for a lawyer to be instructed to act in case brought by P.C. contest the bankrupt estate's business.
36,6,,,,M1,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings."
37,6,,,,M2,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši u sud u Beogradu ) , however , denied the defendants ' motion for a stay of the court order ."
38,6,,,,M3,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši privredni u u Beogradu ) , however , rejected the defendants ' requests for a stay of the enforcement order ."
39,6,,,,M4,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court in Belgrade (Viši privredni sud u Beogradu) and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu) said that the debtors could not be held liable."
40,6,,,,M5,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999 , the Commercial Court and the High Commercial Court in Belgrade ( Viši privredni sud u Beogradu ) , respectively , scorned the debitors ' requests for a stay of the enforcement proceedings ."
41,6,,,,M6,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (ViÅ¡i privredni organ u Beogradu), and, rejected the above' requests for a stay of the enforcement and."
42,6,,,,M7,"On 12 February 1999 and 17 September 1999, the Commercial Court and the High Commercial Court in Belgrade (Viši privredni sud u Beogradu), respectively, rejected the debtors' requests for a stay of the enforcement proceedings.","On 12 February 1999 17 September 1999, the Commercial Court the High Commercial Court in Belgrade (ViÅ¡i privredni organ u Beogradu), and, rejected above'. Requests for a stay of the enforcement and."
43,7,,,,M1,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”
44,7,,,,M2,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask at any time for the case to be cleared . The trial judge will rule within five days of such an action . ”
45,7,,,,M3,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the case to be released . The investigating judge shall rule within five days of such an application . ”
46,7,,,,M4,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also ask the court to release the accused at any time. The investigating judge shall rule on this request within five days.
47,7,,,,M5,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the accused to be freed . The investigating judge shall rule within five days of such an applications . ”
48,7,,,,M6,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating judge shall rule within five days of such an application.â
49,7,,,,M7,The public prosecutor may also apply at any time for the accused to be released. The investigating judge shall rule within five days of such an application.”,The public prosecutor may also apply at any time for the deceased to be released. The investigating Judge shall rule within five days of such an application.â
50,8,,,,M1,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.
51,8,,,,M2,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The defendant was given an opportunity to present his case in person and by order of 28 January 1999 the Administrative Court of Appeal denied the candidate ’ s request for leave to remain .
52,8,,,,M3,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The defendant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the candidate ’ s request for leave to appeal .
53,8,,,,M4,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,"The applicant was given the opportunity to make his claim in writing. On 28 January 1999, the Administrative Court of Appeal said that the claim could not be made in writing."
54,8,,,,M5,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The applicant was given an opportunity to finish his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal declined the applicant ’ s request for leave to appeal .
55,8,,,,M6,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The her was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the herâs request for leave to appeal.
56,8,,,,M7,The applicant was given an opportunity to conclude his claim in writing and by decision of 28 January 1999 the Administrative Court of Appeal refused the applicant’s request for leave to appeal.,The her was given an opportunity to conclude his claim in writing by. Decision of 28 January 1999 the Administrative Court of Appeal refused the herâs request for leave to appeal.
57,9,,,,M1,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.
58,9,,,,M2,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court held that the proof of the presence of gas rooms was an investigation of facts which had been found false and that this evidence can be denied on account of their true nature . In 1996 the Bavarian Court of Appeal found that the proof of the presence of gas rooms was illegal under Section 189 of the Criminal Code .
59,9,,,,M3,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an investigation of facts which had been proven untrue and that this evidence can be denied on account of their true nature . In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was illegal under Section 189 of the Criminal Code .
60,9,,,,M4,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,"In 1992 the Federal Constitutional Court said that it was illegal to deny the existence of the gas chambers, because they had been proven to be untrue. In 1996 the Bavarian Court of Appeal said that it was illegal to deny the existence of the gas chambers, because they had been proven to be untrue."
61,9,,,,M5,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court instituted that the self-denial of the existence of gas chambers was an claim of facts which had been shown false and that this allegement can be forbade on account of their offending nature . In 1996 the Bavarian Court of Appeal affirmed that the self-denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code .
62,9,,,,M6,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an kind of facts which had been proven untrue and that this kind can be made on account of their wrong nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was fine under Section 189 of the Criminal Code.
63,9,,,,M7,In 1992 the Federal Constitutional Court established that the denial of the existence of gas chambers was an allegation of facts which had been proven untrue and that this allegation can be prohibited on account of their offending nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was punishable under Section 189 of the Criminal Code.,In 1992 the Federal Constitutional. Court established that the denial of the existence of gas chambers was an kind of facts had been proven untrue that this kind can be made on account of their wrong nature. In 1996 the Bavarian Court of Appeal confirmed that the denial of the existence of gas chambers was fine under Section 189 of the Criminal Code.
64,10,,,,M1,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”
65,10,,,,M2,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the action results from bad actions or acts and the right to make a statement will happen one year after the event giving rise to the request for damages . ”
66,10,,,,M3,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the damage results from bad deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for damages . ”
67,10,,,,M4,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,"Where the damage is caused by acts of the government, the right to make a claim shall expire one year after the event where the damage took place."
68,10,,,,M5,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,“ Where the harm results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for recompense . ”
69,10,,,,M6,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,âWhere the damage results from other deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.â
70,10,,,,M7,“Where the damage results from administrative deeds or acts ... the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.”,Âwhere the. Results from other deeds or acts the right to make a claim shall lapse one year after the event giving rise to the claim for compensation.â
71,11,,,,M1,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.
72,11,,,,M2,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court corrected the two rules in its former decision and handed down the same judgment against the defendant . The government refused .
73,11,,,,M3,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court corrected the same errors in its former decision and handed down the same sentence against the defendant . The government refused .
74,11,,,,M4,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,"On 8 March 1995, the Fethiye Assize Court changed the original judgment and gave the same sentence to the applicant. The applicant appealed the decision."
75,11,,,,M5,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court revised the legal failures in its former judgement and handed down the same sentence against the applicant . The applicant appealed .
76,11,,,,M6,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court had the the errors in its former case and handed down the same sentence against the same. The same and.
77,11,,,,M7,On 8 March 1995 the Fethiye Assize Court amended the procedural errors in its former judgment and handed down the same sentence against the applicant. The applicant appealed.,On 8 March 1995 the Fethiye Assize Court had the the errors in its former case handed down the same. Sentence against the same. The same
78,12,,,,M1,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006."
79,12,,,,M2,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The general international law and practice regarding the possibility of imprisonment on prisoners ( in law ) , the reasons for its use , release from prison and rules for other , more “ protection protection ” ( or plan ) are found in the Court 's judgments in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and poland v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 ."
80,12,,,,M3,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the possibility of detention on prisoners ( aresztowanie tymczasowe ) , the grounds for its prolongation , release from detention and rules regarding other , so-called “ protection measures ” ( środki zapobiegawcze ) are stated in the Court 's judgments in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and Celejewski v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 ."
81,12,,,,M4,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","In the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006, the Court said that the relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe) and rules governing other, so-called ""preventive measures"" are not clear."
82,12,,,,M5,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The pertinent domestic law and practice concerning the imposition of detainment on remand ( aresztowanie tymczasowe ) , the grounds for its protraction , release from detainment and rules controlling other , so-called “ curative measures ” ( środki zapobiegawcze ) are posited in the Court 's decisions in the cases of Gołek v. Poland , no . 31330/02 , §§ 27-33 , 25 April 2006 and Celejewski v. Poland , no . 17584/04 , §§ 22-23 , 4 August 2006 ."
83,12,,,,M6,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the lawfulness of detention on the (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules the other, so-called âpreventive measuresâ (Årodki zapobiegawcze) are stated in the Court's and in the cases of GoÅek v. Poland, no. 31330/02, Â§Â§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, Â§Â§ 22-23, 4 August 2006."
