text_pair_id,original_text_id,adequacy,fluency,simplicity,model_id,original,simplified
12,31,,,,M2,The applicant lodged a petition for review with the Supreme Court. On 9 February 2005 the Supreme Court dismissed the applicant’s petition. This decision was served on him on 25 April 2005.,The candidate filed a request for divorce with the Supreme Court . On 9 February 2005 the Supreme Court rejected the candidate ’ s request . This order was served on him on 25 April 2005 .
13,32,,,,M6,"“The USSR State Security Committee (NKVD, NKGB, MGB, KGB – hereinafter ‘the SSC’) is recognised as a criminal organisation which was responsible for war crimes, genocide, repression, terror and political persecution in the territory of Lithuania when occupied by the USSR.”","âThe USSR State Security Committee (NKVD, NKGB, MGB, KGB â president âthe SSCâ) is recognised as a criminal organisation which was responsible for war crimes, war, for, terror and political security in the territory of Lithuania when occupied by the USSR.â"
14,32,,,,M2,"“The USSR State Security Committee (NKVD, NKGB, MGB, KGB – hereinafter ‘the SSC’) is recognised as a criminal organisation which was responsible for war crimes, genocide, repression, terror and political persecution in the territory of Lithuania when occupied by the USSR.”","“ The USSR State Security Committee ( NKVD , NKGB , MGB , KGB – also ‘ the SSC ’ ) is described as a military group which was used for war crimes , torture , torture , military and political violence in the country of Lithuania when occupied by the USSR . ”"
15,34,,,,M6,"“It shall be an offence punishable by imprisonment or a fine following a complaint to use a camera to observe, or image-recording equipment to record, any matter pertaining to a person’s personal life or, if it would not be in public view but for the camera or equipment, to his or her private life, without the consent of the person concerned.”","âIt shall be an offence other by imprisonment or a fine following a complaint to use a camera to observe, or image-recording equipment to record, any matter respect to a personâs personal life or, if it would not be in public view but for the camera or equipment, to his or her private life, without the right of the person concerned.â"
16,34,,,,M2,"“It shall be an offence punishable by imprisonment or a fine following a complaint to use a camera to observe, or image-recording equipment to record, any matter pertaining to a person’s personal life or, if it would not be in public view but for the camera or equipment, to his or her private life, without the consent of the person concerned.”","“ It can be an act caused by death or a fine following a failure to use a computer to see , or other equipment to record , any matter relating to a person ’ s personal life or , if it would not be in public view but for the person or camera , to his or her private life , without the permission of the person involved . ”"
17,40,,,,M2,"On 24 March 2004 the Edineţ District Court ruled in favour of the applicant and ordered the defendant to pay him 97,000 Moldovan lei (MDL) (the equivalent of 6,284 euros (EUR) at the time). The judgment was not appealed against and after fifteen days it became final and enforceable.","On 24 March 2004 the Edineţ District Court found in support of the defendant and ordered the court to pay him 97,000 Moldovan dollars ( MDL ) ( the average of 6,284 euros ( EUR ) at the time ) . The decision was not ruled against and after fifteen days it became final and final ."
18,40,,,,M6,"On 24 March 2004 the Edineţ District Court ruled in favour of the applicant and ordered the defendant to pay him 97,000 Moldovan lei (MDL) (the equivalent of 6,284 euros (EUR) at the time). The judgment was not appealed against and after fifteen days it became final and enforceable.","On 24 March 2004 the EdineÅ£ District Court ruled in favour of the father and ordered the defendant to pay him 97,000 Moldovan and (MDL) (the equivalent of 6,284 the (EUR) at the time). The fine was not made against and after fifteen days it became final and the."
19,43,,,,M2,"The applicant, Mr Ousman Mbengeh, is a Gambian national who was born in 1971 and lived, at the time of lodging his application with the Court, in Helsinki. He is represented before the Court by Ms K. Heimonen, a lawyer practising in Espoo.","The judge , Mr Ousman Mbengeh , is a Gambian national who was born in 1971 and lived , at the time of filing his case with the Court , in Helsinki . He is brought before the Court by Ms K. Heimonen , a lawyer living in Espoo ."
20,43,,,,M6,"The applicant, Mr Ousman Mbengeh, is a Gambian national who was born in 1971 and lived, at the time of lodging his application with the Court, in Helsinki. He is represented before the Court by Ms K. Heimonen, a lawyer practising in Espoo.","The father, Mr Ousman Mbengeh, is a Gambian national who was born in 1971 and lived, at the time of the his application with the Court, in Helsinki. He is represented before the Court by Ms K. Heimonen, a lawyer practising in Espoo."
21,62,,,,M2,"At the applicant's request, the case was suspended between 29 January 1999 and 1 August 2000 pending a related dispute. After holding numerous further hearings and obtaining the opinions of additional experts, the court divided the matrimonial property on 8 June 2004.","At the government 's request , the case was dismissed between 29 January 1999 and 1 August 2000 for a related matter . After holding two further trials and hearing the advice of several judges , the court dismissed the intellectual property on 8 June 2004 ."
22,62,,,,M6,"At the applicant's request, the case was suspended between 29 January 1999 and 1 August 2000 pending a related dispute. After holding numerous further hearings and obtaining the opinions of additional experts, the court divided the matrimonial property on 8 June 2004.","At the father's request, the case was suspended between 29 January 1999 and 1 August 2000 pending a related dispute. After holding numerous further heard and get the opinions of additional experts, the court divided the other property on 8 June 2004."
23,63,,,,M2,"On 24 September 2001 the court granted the authorities' request for stay in the proceedings on the grounds that there were pending related proceedings in the Supreme Court of Russia and in the Constitutional Court of Russia. The proceedings in the Constitutional Court had been initiated by the applicant (see para. 60 below). The applicant appealed against the decision to stay the proceedings, to no avail.","On 24 September 2001 the court denied the parties ' request for stay in the court on the basis that there were no related matters in the Supreme Court of Russia and in the Constitutional Court of Russia . The action in the Constitutional Court had been ordered by the government ( see p . 60 below ) . The government argued against the order to stay the action , to no effect ."
24,63,,,,M6,"On 24 September 2001 the court granted the authorities' request for stay in the proceedings on the grounds that there were pending related proceedings in the Supreme Court of Russia and in the Constitutional Court of Russia. The proceedings in the Constitutional Court had been initiated by the applicant (see para. 60 below). The applicant appealed against the decision to stay the proceedings, to no avail.","On 24 September 2001 the court granted the authorities' request for stay in the matter on the grounds that there were pending related matter in the Supreme Court of Russia and in the Constitutional Court of Russia. The matter in the Constitutional Court had been won by the mother (see see. 60 below). The mother was against the decision to stay the matter, to no the."
25,67,,,,M2,"No oral hearing was held at any time of the proceedings, nor did the applicant request that such a hearing be held. He was represented by counsel at least before the Supreme Administrative Court.","No formal argument was held at any time of the day , nor did the president request that such a meeting be held . He was represented by attorney at least before the Supreme Administrative Court ."
26,67,,,,M6,"No oral hearing was held at any time of the proceedings, nor did the applicant request that such a hearing be held. He was represented by counsel at least before the Supreme Administrative Court.","No oral hearing was held at any time of the time, nor did the father request that such a hearing be held. He was represented by the at least before the Supreme Administrative Court."
27,72,,,,M2,"On 18 March 2004, after having heard the applicant, the Maastricht Regional Court prolonged the applicant’s detention on remand by a further thirty days. It held:","On 18 March 2004 , after having heard the case , the Maastricht Regional Court extended the defendant ’ s stay on appeal by a further thirty days . It held :"
28,72,,,,M6,"On 18 March 2004, after having heard the applicant, the Maastricht Regional Court prolonged the applicant’s detention on remand by a further thirty days. It held:","On 18 March 2004, after having heard the the, the Maastricht Regional Court took the theâs detention on the by a further thirty days. It held:"
29,87,,,,M6,"It appears that J.P. instituted another set of proceedings against the applicant – a civil claim for compensation for non-pecuniary damage – and that the domestic courts ordered the applicant to pay him compensation in the sum of RSD 50,000 (approximately EUR 540). However, the applicant did not include these proceedings in his complaints raised before the Court.","It appears that J.P. took another set of action against the first â a civil claim for the for non-damage damage â and that the domestic courts ordered the first to pay him the in the sum of RSD 50,000 (approximately EUR 540). However, the first did not include these action in his complaints raised before the Court."
30,87,,,,M2,"It appears that J.P. instituted another set of proceedings against the applicant – a civil claim for compensation for non-pecuniary damage – and that the domestic courts ordered the applicant to pay him compensation in the sum of RSD 50,000 (approximately EUR 540). However, the applicant did not include these proceedings in his complaints raised before the Court.","It seems that J.P. brought another set of charges against the government – a civil claim for damages for the damage – and that the lower courts ordered the government to pay him damages in the amount of RSD 50,000 ( approximately us 540 ) . However , the government did not include these facts in his claims brought before the Court ."
31,102,,,,M2,"The legal provisions applicable at the material time and questions of practice are set out in paragraphs 23-33 of the judgment delivered by the Court on 19 June 2001 in the case of Kreuz v. Poland (no. 28249/95, ECHR 2001-VI; see also Jedamski and Jedamska v. Poland, no. 73547/01, §§ 2939).","The general rules established at the present time and place of law are set out in sections 23-33 of the decision given by the Court on 19 June 2001 in the case of poland v. Poland ( no . 28249/95 , ECHR 2001-VI ; see also poland and Jedamska v. Poland , no . 73547/01 , §§ 2939 ) ."
32,102,,,,M6,"The legal provisions applicable at the material time and questions of practice are set out in paragraphs 23-33 of the judgment delivered by the Court on 19 June 2001 in the case of Kreuz v. Poland (no. 28249/95, ECHR 2001-VI; see also Jedamski and Jedamska v. Poland, no. 73547/01, §§ 2939).","The legal law available at the material time and questions of practice are set out in the 23-33 of the time delivered by the Court on 19 June 2001 in the case of Kreuz v. Poland (no. 28249/95, ECHR 2001-VI; see also Jedamski and Jedamska v. Poland, no. 73547/01, Â§Â§ 2939)."
33,113,,,,M2,"France has asked the European Economic Community to put in place a uniform monitoring procedure, without delay, which all countries could apply in respect of non-member countries, based on the recommendations of the International Commission on Radiological Protection. Such measures should on no account hinder intracommunity exchanges. Furthermore, we have asked all the member States to inform their partners of any measurements taken and their results.","France has asked the European Economic Community to put in place a uniform inspection system , without exception , which all countries could use in case of other countries , based on the decisions of the national Commission on Radiological Protection . Such measures should on no account hinder trade relations . however , we have asked all the member States to inform their partners of any steps taken and their results ."
34,113,,,,M6,"France has asked the European Economic Community to put in place a uniform monitoring procedure, without delay, which all countries could apply in respect of non-member countries, based on the recommendations of the International Commission on Radiological Protection. Such measures should on no account hinder intracommunity exchanges. Furthermore, we have asked all the member States to inform their partners of any measurements taken and their results.","France has asked the European Economic Community to put in place a uniform monitoring procedure, without delay, which all countries could apply in respect of non-member countries, based on the recommendations of the International Commission on Radiological Protection. Such measures should on no account help intracommunity exchange. Furthermore, we have asked all the member States to inform their partners of any measurements taken and their results."
35,122,,,,M2,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court rejected the government ’ s case against the judgment of 6 November 1998 . The court held that have had failed to to with the procedure subject to to this only , as she had not the a to to have the made to by the Łódź Self-Government Board of Appeal . This is is final ."
36,122,,,,M6,"On 27 April 1999 the Supreme Administrative Court dismissed the applicant’s appeal against the decision of 6 November 1998. The court held that applicant had failed to comply with the formal requirements attached to this remedy, as she had not lodged a request to have the decision reconsidered by the Łódź Self-Government Board of Appeal. This decision is final.","On 27 April 1999 the Supreme Administrative Court dismissed the theâs appeal against the decision of 6 November 1998. The court held that they had failed to comply with the formal order attached to this right, as she had not lodged a request to have the decision made by the ÅÃ³dÅº Self-Government Board of Appeal. This decision is final."
37,135,,,,M2,"Following the Coroner’s recommendations, an Operational Notice was issued on 22 January 1997 to all divisions in respect of positional asphyxia, dealing with risk factors, signs and symptoms, and ways of reducing risks. This was to be incorporated into a new two-day training course for Metropolitan Police Officers with effect from 1 April 1997.","Following the Coroner ’ s report , an emergency Notice was sent on 22 January 1997 to all officers in care of the changes , problems with risk issues , signs and signs , and ways of taking it . This was to be developed into a new two-day training course for chief Police Officers with effect from 1 April 1997 ."
38,135,,,,M6,"Following the Coroner’s recommendations, an Operational Notice was issued on 22 January 1997 to all divisions in respect of positional asphyxia, dealing with risk factors, signs and symptoms, and ways of reducing risks. This was to be incorporated into a new two-day training course for Metropolitan Police Officers with effect from 1 April 1997.","Following the Coronerâs recommendations, an Operational Notice was issued on 22 January 1997 to all divisions in respect of suicide officers, dealing with risk factors, signs and symptoms, and ways of taking risks. This was to be incorporated into a new two-day training course for Metropolitan Police Officers with effect from 1 April 1997."
39,150,,,,M6,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is true that, if a new package of care fails to meet [the man's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a long sentence were felt viable."
40,150,,,,M2,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that , if a given package of care fails to meet [ the child 's ] basic physical and social needs , he will likely face a high risk of death . At this time however I believe that a long term care order , with a stable foster home and an appropriate care package should be considered if an application to a prison order were felt suitable ."
41,152,,,,M2,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court , upon the candidate ’ s request , scheduled eight months for the period between 10 December 2002 and 22 January 2003 . On 29 November 2002 the submitted his his as . He that that he had mental and and in from the length of the on against him . it he would not have been able to all the because ."
42,152,,,,M6,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court, upon the timeâs appeal, scheduled eight time for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the time and his appeal. He submitted that he had suffered mentally and physically from the length of the case against him. Therefore he would not have been able to attend the time."
43,168,,,,M2,"Following the adoption of law no. 4963, which came into force on 7 August 2003, Article 426 of the Criminal Code was amended. Accordingly, scientific and artistic works and any work of literary value was excluded from the sphere of application of the Article.","Following the passage of law no . 4963 , which came into force on 7 August 2003 , Article 426 of the Criminal Code was removed . political , scientific and technical works and any work of artistic value was removed from the field of operation of the Article ."
44,168,,,,M6,"Following the adoption of law no. 4963, which came into force on 7 August 2003, Article 426 of the Criminal Code was amended. Accordingly, scientific and artistic works and any work of literary value was excluded from the sphere of application of the Article.","Following the adoption of law no. 4963, which came into force on 7 August 2003, Article 426 of the Criminal Code was the. Accordingly, scientific and artistic works and any work of literary value was taken from the sphere of application of the Article."
45,196,,,,M2,"On 30 April 1999 the applicant instituted civil proceedings against ZS in the Celje District Court (Okrožno sodišče v Celju) seeking damages in the amount of 3,144,108 tolars (approximately 13,000 euros) for the injuries sustained.","On 30 April 1999 the government started civil action against ZS in the Celje District Court ( Okrožno pod v Celju ) for damages in the amount of 3,144,108 tolars ( approximately 13,000 euros ) for the damage caused ."
46,196,,,,M6,"On 30 April 1999 the applicant instituted civil proceedings against ZS in the Celje District Court (Okrožno sodišče v Celju) seeking damages in the amount of 3,144,108 tolars (approximately 13,000 euros) for the injuries sustained.","On 30 April 1999 the day did civil case against ZS in the Celje District Court (OkroÅ¾no sodiÅ¡Äe v Celju) seeking damage in the amount of 3,144,108 tolars (approximately 13,000 half) for the injuries sustained."
47,197,,,,M2,On 12 November 2001 the court discontinued proceedings in the applicant’s case on the ground that she had failed to appear before the court.,On 12 November 2001 the court opened judgment in the woman ’ s case on the ground that she had failed to come before the court .
48,197,,,,M6,On 12 November 2001 the court discontinued proceedings in the applicant’s case on the ground that she had failed to appear before the court.,On 12 November 2001 the court took work in the applicantâs case on the ground that she had failed to appear before the court.
49,199,,,,M6,"The National Security Courts were created by Law no. 1773 of 11 July 1973, in accordance with Article 136 of the 1961 Constitution. That Law was annulled by the Constitutional Court on 15 June 1976. The courts in question were later reintroduced into the Turkish judicial system by the 1982 Constitution. The relevant part of the statement of reasons contains the following passage:","The National Security Courts were created by Law no. 1773 of 11 July 1973, in part with Article 136 of the 1961 Constitution. That Law was changed by the Constitutional Court on 15 June 1976. The courts in question were later created into the Turkish police system by the 1982 Constitution. The relevant part of the statement of reasons contains the following passage:"
50,199,,,,M2,"The National Security Courts were created by Law no. 1773 of 11 July 1973, in accordance with Article 136 of the 1961 Constitution. That Law was annulled by the Constitutional Court on 15 June 1976. The courts in question were later reintroduced into the Turkish judicial system by the 1982 Constitution. The relevant part of the statement of reasons contains the following passage:","The National Security Courts were created by Law no . 1773 of 11 July 1973 , in line with Article 136 of the 1961 Constitution . That Law was confirmed by the Constitutional Court on 15 June 1976 . The in in question were later to into the Turkish system system by the 1982 Constitution . The section part of the statement of reasons contains the following passage :"
